State,Number of CoCs,"Overall Homeless, 2009","Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered SH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered SH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Sheltered SH Chronically Homeless, 2009","Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered SH Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009","Homeless Veterans, 2009","Sheltered Total Homeless Veterans, 2009","Unsheltered Homeless Veterans, 2009"
AK,2,"1,992","1,009",656,0,"1,665",327,"1,239",626,363,0,989,250,753,383,293,676,77,237,118,92,210,27,0,323,245,0,245,78,259,222,37
AL,8,"6,080","1,419","2,494",0,"3,913","2,167","4,686","1,104","1,927",0,"3,031","1,655","1,394",315,567,882,512,509,112,201,313,196,0,"1,189",652,0,652,537,"1,063",858,205
AR,6,"2,852",652,"1,078",0,"1,730","1,122","2,181",499,798,0,"1,297",884,671,153,280,433,238,234,58,85,143,91,0,406,146,0,146,260,249,168,82
AZ,3,"14,721","4,020","4,346",0,"8,366","6,355","9,959","2,452","1,839",0,"4,291","5,668","4,762","1,568","2,507","4,075",687,"1,406",478,773,"1,251",155,0,"2,229",538,0,538,"1,691","2,343","1,216","1,127"
CA,43,"123,678","23,081","27,696",0,"50,777","72,901","97,534","16,849","15,568",0,"32,417","65,117","26,144","6,232","12,128","18,360","7,784","8,613","2,086","4,057","6,143","2,470",0,"31,412","7,001",0,"7,001","24,411","17,973","6,799","11,174"
CO,3,"15,268","4,895","4,136",0,"9,031","6,237","7,401","3,083","1,493",0,"4,576","2,825","7,867","1,812","2,643","4,455","3,412","2,224",541,812,"1,353",871,0,"1,286",510,0,510,776,"1,471",964,507
CT,12,"4,605","2,542","1,561",0,"4,103",502,"2,773","1,613",675,0,"2,288",485,"1,832",929,886,"1,815",17,624,317,300,617,7,0,824,640,0,640,184,462,401,61
DC,1,"6,228","3,315","2,592",0,"5,907",321,"3,934","2,632",981,0,"3,613",321,"2,294",683,"1,611","2,294",0,703,203,500,703,0,0,"1,923","1,632",0,"1,632",291,642,613,29
DE,1,"1,130",583,500,0,"1,083",47,776,396,333,0,729,47,354,187,167,354,0,117,59,58,117,0,0,167,150,0,150,17,100,91,9
FL,28,"55,599","10,491","11,376",0,"21,867","33,732","34,432","6,579","7,248",0,"13,827","20,605","21,167","3,912","4,128","8,040","13,127","7,751","1,320","1,293","2,613","5,138",0,"9,062","3,493",0,"3,493","5,569","7,135","2,907","4,228"
GA,7,"20,360","4,819","4,600",0,"9,419","10,941","14,365","3,291","2,474",0,"5,765","8,600","5,995","1,528","2,126","3,654","2,341","1,895",445,724,"1,169",726,0,"3,771","1,620",0,"1,620","2,151","2,760","1,373","1,387"
GU,1,"1,088",67,115,0,182,906,391,24,28,0,52,339,697,43,87,130,567,168,13,19,32,136,0,87,19,0,19,68,22,3,19
HI,2,"5,782","1,050","2,218",0,"3,268","2,514","2,941",479,530,0,"1,009","1,932","2,841",571,"1,688","2,259",582,784,176,445,621,163,0,772,124,0,124,648,499,234,265
IA,3,"3,380","1,180","2,041",0,"3,221",159,"1,655",771,753,0,"1,524",131,"1,725",409,"1,288","1,697",28,532,128,395,523,9,0,306,238,0,238,68,270,247,23
ID,2,"1,939",631,846,0,"1,477",462,"1,117",432,389,0,821,296,822,199,457,656,166,280,66,154,220,60,0,210,157,0,157,53,270,194,76
IL,21,"14,055","5,066","6,785",0,"11,851","2,204","7,475","3,523","2,119",0,"5,642","1,833","6,580","1,543","4,666","6,209",371,"2,093",503,"1,478","1,981",112,0,"2,212","1,564",0,"1,564",648,"1,028",801,227
