State,Number of CoCs,"Overall Homeless, 2014","Sheltered ES Homeless, 2014","Sheltered TH Homeless, 2014","Sheltered SH Homeless, 2014","Sheltered Total Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered Total Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered Total Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered ES Homeless Veterans, 2014","Sheltered TH Homeless Veterans, 2014","Sheltered SH Homeless Veterans, 2014","Sheltered Total Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
AK,2,"1,784","1,139",500,0,"1,639",145,"1,209",848,261,0,"1,109",100,575,291,239,530,45,193,108,71,179,14,206,137,0,137,69,182,119,0,119,63,24,18,18,6,178,119,41,0,160,18
AL,8,"4,561","1,851","1,636",31,"3,518","1,043","3,115","1,419",923,31,"2,373",742,"1,446",432,713,"1,145",301,457,141,216,357,100,729,257,26,283,446,618,219,26,245,373,111,38,38,73,542,251,199,0,450,92
AR,6,"2,936","1,021",482,0,"1,503","1,433","2,303",775,295,0,"1,070","1,233",633,246,187,433,200,240,108,64,172,68,519,85,0,85,434,516,82,0,82,434,3,3,3,0,361,117,103,0,220,141
AZ,3,"10,495","4,291","3,595",40,"7,926","2,569","6,194","2,589","1,222",40,"3,851","2,343","4,301","1,702","2,373","4,075",226,"1,295",532,702,"1,234",61,959,297,19,316,643,904,284,19,303,601,55,13,13,42,858,244,386,5,635,223
CA,40,"113,952","20,964","21,365",186,"42,515","71,437","90,765","14,114","10,557",186,"24,857","65,908","23,187","6,850","10,808","17,658","5,529","6,956","1,944","3,184","5,128","1,828","31,078","5,017",114,"5,131","25,947","28,200","4,303",114,"4,417","23,783","2,878",714,714,"2,164","12,096","1,599","2,852",6,"4,457","7,639"
CO,3,"10,028","4,002","4,058",23,"8,083","1,945","5,573","2,849","1,163",23,"4,035","1,538","4,455","1,153","2,895","4,048",407,"1,317",352,835,"1,187",130,"1,621",747,0,747,874,"1,335",635,0,635,700,286,112,112,174,753,337,191,0,528,225
CT,6,"4,450","2,481","1,050",0,"3,531",919,"3,069","1,730",513,0,"2,243",826,"1,381",751,537,"1,288",93,495,263,195,458,37,"1,215",847,0,847,368,"1,026",696,0,696,330,189,151,151,38,295,73,148,0,221,74
DC,1,"7,748","5,754","1,598",0,"7,352",396,"3,953","2,828",729,0,"3,557",396,"3,795","2,926",869,"3,795",0,"1,231",907,324,"1,231",0,"2,029","1,694",0,"1,694",335,"1,609","1,274",0,"1,274",335,420,420,420,0,406,276,99,0,375,31
DE,1,901,435,429,0,864,37,584,318,236,0,554,30,317,117,193,310,7,104,40,62,102,2,91,82,0,82,9,88,79,0,79,9,3,3,3,0,93,39,50,0,89,4
FL,28,"41,542","10,250","9,469",132,"19,851","21,691","28,730","7,319","5,435",132,"12,886","15,844","12,812","2,931","4,034","6,965","5,847","4,550",950,"1,277","2,227","2,323","7,989","1,798",105,"1,903","6,086","6,843","1,612",105,"1,717","5,126","1,146",186,186,960,"4,552",924,"1,466",34,"2,424","2,128"
GA,9,"16,521","4,441","3,773",0,"8,214","8,307","12,403","3,004","1,928",0,"4,932","7,471","4,118","1,437","1,845","3,282",836,"1,291",446,577,"1,023",268,"3,004",945,0,945,"2,059","2,645",862,0,862,"1,783",359,83,83,276,"1,443",271,376,0,647,796
GU,1,"1,356",57,69,0,126,"1,230",332,16,21,0,37,295,"1,024",41,48,89,935,180,10,10,20,160,67,0,0,0,67,24,0,0,0,24,43,0,0,43,36,2,4,0,6,30
HI,2,"6,918","1,162","2,626",25,"3,813","3,105","3,750",481,658,25,"1,164","2,586","3,168",681,"1,968","2,649",519,790,168,495,663,127,"1,301",177,22,199,"1,102","1,109",123,22,145,964,192,54,54,138,593,60,182,5,247,346
IA,3,"3,122","1,387","1,539",0,"2,926",196,"1,544",884,484,0,"1,368",176,"1,578",503,"1,055","1,558",20,487,153,329,482,5,244,154,0,154,90,211,121,0,121,90,33,33,33,0,202,105,72,0,177,25
ID,2,"2,104",739,729,0,"1,468",636,"1,234",525,323,0,848,386,870,214,406,620,250,264,72,125,197,67,244,105,0,105,139,156,69,0,69,87,88,36,36,52,215,30,105,0,135,80
IL,20,"13,107","5,031","6,281",97,"11,409","1,698","7,350","3,539","2,157",97,"5,793","1,557","5,757","1,492","4,124","5,616",141,"1,880",511,"1,313","1,824",56,"1,488",943,67,"1,010",478,"1,349",824,67,891,458,139,119,119,20,"1,234",317,593,3,913,321
IN,3,"5,971","3,376","2,170",22,"5,568",403,"3,953","2,362","1,176",22,"3,560",393,"2,018","1,014",994,"2,008",10,654,342,309,651,3,596,470,15,485,111,542,418,15,433,109,54,52,52,2,725,252,435,0,687,38
KS,5,"2,783","1,460","1,064",10,"2,534",249,"1,533",941,344,10,"1,295",238,"1,250",519,720,"1,239",11,395,174,217,391,4,320,211,1,212,108,290,183,1,184,106,30,28,28,2,393,104,252,0,356,37
KY,3,"5,089","2,382","1,865",11,"4,258",831,"3,352","1,761","1,033",11,"2,805",547,"1,737",621,832,"1,453",284,564,202,294,496,68,727,496,3,499,228,614,421,3,424,190,113,75,75,38,600,255,303,0,558,42
LA,9,"4,606","1,451","2,030",22,"3,503","1,103","3,444","1,141","1,201",22,"2,364","1,080","1,162",310,829,"1,139",23,376,109,259,368,8,776,259,3,262,514,743,229,3,232,511,33,30,30,3,437,106,223,3,332,105
MA,18,"21,237","16,835","3,576",67,"20,478",759,"6,788","3,757","2,217",67,"6,041",747,"14,449","13,078","1,359","14,437",12,"4,781","4,275",502,"4,777",4,"3,311","2,952",54,"3,006",305,"1,590","1,231",54,"1,285",305,"1,721","1,721","1,721",0,"1,264",311,901,22,"1,234",30
MD,16,"7,856","3,703","2,469",95,"6,267","1,589","4,980","2,470","1,307",95,"3,872","1,108","2,876","1,233","1,162","2,395",481,948,415,388,803,145,"1,740","1,066",69,"1,135",605,"1,515",928,69,997,518,225,138,138,87,654,246,307,2,555,99
ME,2,"2,726","1,107","1,515",11,"2,633",93,"1,348",758,513,11,"1,282",66,"1,378",349,"1,002","1,351",27,388,108,268,376,12,244,213,5,218,26,218,195,5,200,18,26,18,18,8,152,82,56,0,138,14
MI,21,"12,227","5,513","4,522",40,"10,075","2,152","7,535","3,742","2,134",40,"5,916","1,619","4,692","1,771","2,388","4,159",533,"1,521",550,780,"1,330",191,"1,293",806,19,825,468,"1,160",726,19,745,415,133,80,80,53,"1,122",372,609,13,994,128
MN,10,"8,377","4,414","3,168",0,"7,582",795,"3,652","2,072",934,0,"3,006",646,"4,725","2,342","2,234","4,576",149,"1,422",642,741,"1,383",39,"1,235",889,0,889,346,885,562,0,562,323,350,327,327,23,317,137,126,0,263,54
MO,8,"7,282","3,521","2,732",56,"6,309",973,"4,307","2,140","1,455",56,"3,651",656,"2,975","1,381","1,277","2,658",317,902,432,381,813,89,997,683,31,714,283,735,438,31,469,266,262,245,245,17,652,259,297,7,563,89
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,3,"2,226",732,673,0,"1,405",821,"1,714",559,374,0,933,781,512,173,299,472,40,179,60,105,165,14,282,79,0,79,203,275,74,0,74,201,7,5,5,2,279,64,157,0,221,58
MT,1,"1,745",471,440,0,911,834,"1,167",319,174,0,493,674,578,152,266,418,160,166,42,80,122,44,270,77,0,77,193,256,71,0,71,185,14,6,6,8,256,50,44,0,94,162
NC,12,"11,491","5,631","3,243",0,"8,874","2,617","7,498","3,963","1,775",0,"5,738","1,760","3,993","1,668","1,468","3,136",857,"1,303",561,471,"1,032",271,"1,431",720,0,720,711,"1,284",639,0,639,645,147,81,81,66,"1,164",458,524,0,982,182
ND,1,"1,258",639,155,0,794,464,886,439,87,0,526,360,372,200,68,268,104,120,63,25,88,32,115,101,0,101,14,111,97,0,97,14,4,4,4,0,151,63,54,0,117,34
NE,3,"3,026","1,584","1,333",0,"2,917",109,"1,893","1,136",652,0,"1,788",105,"1,133",448,681,"1,129",4,347,136,210,346,1,426,397,0,397,29,365,336,0,336,29,61,61,61,0,241,89,135,0,224,17
NH,3,"1,376",710,526,7,"1,243",133,795,464,205,7,676,119,581,246,321,567,14,213,88,119,207,6,338,279,7,286,52,301,244,7,251,50,37,35,35,2,171,65,96,1,162,9
NJ,17,"11,671","7,692","2,989",55,"10,736",935,"6,446","4,325","1,156",55,"5,536",910,"5,225","3,367","1,833","5,200",25,"1,716","1,106",602,"1,708",8,"1,399",996,11,"1,007",392,"1,150",749,11,760,390,249,247,247,2,630,265,286,3,554,76
NM,2,"2,746","1,409",909,0,"2,318",428,"1,804","1,090",339,0,"1,429",375,942,319,570,889,53,306,123,164,287,19,709,490,0,490,219,617,458,0,458,159,92,32,32,60,318,149,109,0,258,60
NV,3,"8,582","3,582","1,205",10,"4,797","3,785","7,356","2,612",949,10,"3,571","3,785","1,226",970,256,"1,226",0,397,310,87,397,0,705,101,3,104,601,697,93,3,96,601,8,8,8,0,"1,036",190,355,1,546,490
NY,29,"80,590","66,893","9,405",189,"76,487","4,103","32,643","22,476","5,935",189,"28,600","4,043","47,947","44,417","3,470","47,887",60,"14,338","13,061","1,258","14,319",19,"7,212","4,609",174,"4,783","2,429","4,350","1,773",174,"1,947","2,403","2,862","2,836","2,836",26,"2,542",754,"1,273",58,"2,085",457
