State,Number of CoCs,"Overall Homeless, 2015","Sheltered ES Homeless, 2015","Sheltered TH Homeless, 2015","Sheltered SH Homeless, 2015","Sheltered Total Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered ES Homeless Individuals, 2015","Sheltered TH Homeless Individuals, 2015","Sheltered SH Homeless Individuals, 2015","Sheltered Total Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered ES Homeless People in Families, 2015","Sheltered TH Homeless People in Families, 2015","Sheltered Total Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Homeless Family Households, 2015","Sheltered ES Homeless Family Households, 2015","Sheltered TH Homeless Family Households, 2015","Sheltered Total Homeless Family Households, 2015","Unsheltered Homeless Family Households, 2015","Chronically Homeless, 2015","Sheltered ES Chronically Homeless, 2015","Sheltered SH Chronically Homeless, 2015","Sheltered Total Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered ES Chronically Homeless Individuals, 2015","Sheltered SH Chronically Homeless Individuals, 2015","Sheltered Total Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered ES Chronically Homeless People in Families, 2015","Sheltered Total Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered ES Homeless Veterans, 2015","Sheltered TH Homeless Veterans, 2015","Sheltered SH Homeless Veterans, 2015","Sheltered Total Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2015","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2015","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Youth Under 18, 2015","Sheltered ES Homeless Unaccompanied Youth Under 18, 2015","Sheltered TH Homeless Unaccompanied Youth Under 18, 2015","Sheltered SH Homeless Unaccompanied Youth Under 18, 2015","Sheltered Total Homeless Unaccompanied Youth Under 18, 2015","Unsheltered Homeless Unaccompanied Youth Under 18, 2015","Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2015","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2015","Homeless Parenting Youth (Under 25), 2015","Sheltered ES Homeless Parenting Youth (Under 25), 2015","Sheltered TH Homeless Parenting Youth (Under 25), 2015","Sheltered Total Homeless Parenting Youth (Under 25), 2015","Unsheltered Homeless Parenting Youth (Under 25), 2015","Homeless Parenting Youth Under 18, 2015","Sheltered ES Homeless Parenting Youth Under 18, 2015","Sheltered TH Homeless Parenting Youth Under 18, 2015","Sheltered Total Homeless Parenting Youth Under 18, 2015","Unsheltered Homeless Parenting Youth Under 18, 2015","Homeless Parenting Youth Age 18-24, 2015","Sheltered ES Homeless Parenting Youth Age 18-24, 2015","Sheltered TH Homeless Parenting Youth Age 18-24, 2015","Sheltered Total Homeless Parenting Youth Age 18-24, 2015","Unsheltered Homeless Parenting Youth Age 18-24, 2015","Homeless Children of Parenting Youth, 2015","Sheltered ES Homeless Children of Parenting Youth, 2015","Sheltered TH Homeless Children of Parenting Youth, 2015","Sheltered Total Homeless Children of Parenting Youth, 2015","Unsheltered Homeless Children of Parenting Youth, 2015"
AK,2,"1,956","1,127",512,0,"1,639",317,"1,342",792,292,0,"1,084",258,614,335,220,555,59,180,94,69,163,17,222,81,0,81,141,182,70,0,70,112,40,11,11,29,180,106,43,0,149,31,155,79,44,0,123,32,24,13,5,0,18,6,131,66,39,0,105,26,18,8,10,18,0,0,0,0,0,0,18,8,10,18,0,21,9,12,21,0
AL,8,"3,970","1,574","1,349",20,"2,943","1,027","2,868","1,146",910,20,"2,076",792,"1,102",428,439,867,235,360,140,147,287,73,607,166,2,168,439,557,155,2,157,400,50,11,11,39,474,211,187,1,399,75,228,115,53,0,168,60,32,25,2,0,27,5,196,90,51,0,141,55,25,10,11,21,4,5,3,2,5,0,20,7,9,16,4,35,12,17,29,6
AR,7,"2,560","1,161",515,2,"1,678",882,"1,833",722,365,2,"1,089",744,727,439,150,589,138,240,145,53,198,42,623,319,0,319,304,524,234,0,234,290,99,85,85,14,456,246,139,0,385,71,188,57,38,0,95,93,0,0,0,0,0,0,188,57,38,0,95,93,22,17,5,22,0,0,0,0,0,0,22,17,5,22,0,20,10,10,20,0
AZ,3,"9,896","3,395","3,504",40,"6,939","2,957","6,548","2,147","1,637",40,"3,824","2,724","3,348","1,248","1,867","3,115",233,"1,002",378,559,937,65,"1,366",323,21,344,"1,022","1,246",276,21,297,949,120,47,47,73,"1,220",227,442,3,672,548,621,218,232,0,450,171,83,68,11,0,79,4,538,150,221,0,371,167,166,44,112,156,10,6,1,5,6,0,160,43,107,150,10,194,51,134,185,9
CA,43,"115,738","22,750","19,128",161,"42,039","73,699","93,156","14,735","9,947",161,"24,843","68,313","22,582","8,015","9,181","17,196","5,386","7,195","2,592","3,001","5,593","1,602","32,227","4,975",102,"5,077","27,150","29,178","4,067",102,"4,169","25,009","3,049",908,908,"2,141","11,311","1,940","2,337",32,"4,309","7,002","10,416",974,"1,487",3,"2,464","7,952",892,172,88,0,260,632,"9,524",802,"1,399",3,"2,204","7,320",854,234,536,770,84,11,2,9,11,0,843,232,527,759,84,"1,160",341,698,"1,039",121
CO,3,"9,953","3,782","3,328",24,"7,134","2,819","5,729","2,630","1,085",24,"3,739","1,990","4,224","1,152","2,243","3,395",829,"1,242",356,640,996,246,"1,877",858,24,882,995,"1,572",730,24,754,818,305,128,128,177,950,376,266,2,644,306,566,193,166,1,360,206,82,13,61,0,74,8,484,180,105,1,286,198,171,48,98,146,25,1,0,0,0,1,170,48,98,146,24,226,61,136,197,29
CT,3,"4,047","2,418","1,003",0,"3,421",626,"2,719","1,615",509,0,"2,124",595,"1,328",803,494,"1,297",31,456,271,174,445,11,583,278,0,278,305,538,240,0,240,298,45,38,38,7,282,80,161,0,241,41,124,70,22,0,92,32,11,11,0,0,11,0,113,59,22,0,81,32,43,24,17,41,2,0,0,0,0,0,43,24,17,41,2,65,36,27,63,2
DC,1,"7,298","5,085","1,669",0,"6,754",544,"3,821","2,612",665,0,"3,277",544,"3,477","2,473","1,004","3,477",0,"1,131",768,363,"1,131",0,"1,790","1,470",0,"1,470",320,"1,593","1,273",0,"1,273",320,197,197,197,0,408,247,119,0,366,42,200,103,80,0,183,17,7,7,0,0,7,0,193,96,80,0,176,17,366,262,104,366,0,0,0,0,0,0,366,262,104,366,0,544,385,159,544,0
DE,1,953,529,387,0,916,37,602,361,204,0,565,37,351,168,183,351,0,115,53,62,115,0,80,75,0,75,5,64,59,0,59,5,16,16,16,0,79,44,30,0,74,5,57,26,30,0,56,1,3,1,2,0,3,0,54,25,28,0,53,1,21,8,13,21,0,0,0,0,0,0,21,8,13,21,0,41,16,25,41,0
FL,27,"35,900","9,894","8,865",124,"18,883","17,017","26,325","6,653","5,256",124,"12,033","14,292","9,575","3,241","3,609","6,850","2,725","3,053",996,"1,111","2,107",946,"6,540","1,328",55,"1,383","5,157","6,021","1,155",55,"1,210","4,811",519,173,173,346,"3,926",834,"1,510",28,"2,372","1,554","2,371",654,551,2,"1,207","1,164",593,207,114,0,321,272,"1,778",447,437,2,886,892,315,149,129,278,37,10,6,4,10,0,305,143,125,268,37,449,191,206,397,52
GA,9,"13,790","3,984","4,003",0,"7,987","5,803","9,702","2,596","2,187",0,"4,783","4,919","4,088","1,388","1,816","3,204",884,"1,236",508,506,"1,014",222,"2,137",622,0,622,"1,515","1,994",568,0,568,"1,426",143,54,54,89,"1,548",274,592,0,866,682,575,161,131,0,292,283,15,1,10,0,11,4,560,160,121,0,281,279,51,23,22,45,6,0,0,0,0,0,51,23,22,45,6,98,30,49,79,19
GU,1,"1,280",73,14,0,87,"1,193",306,9,14,0,23,283,974,64,0,64,910,180,14,0,14,166,153,0,0,0,153,27,0,0,0,27,126,0,0,126,23,0,1,0,1,22,7,1,0,0,1,6,1,1,0,0,1,0,6,0,0,0,0,6,12,0,0,0,12,0,0,0,0,0,12,0,0,0,12,10,0,0,0,10
HI,2,"7,620","1,257","2,494",26,"3,777","3,843","4,307",541,676,26,"1,243","3,064","3,313",716,"1,818","2,534",779,798,179,434,613,185,"1,534",160,20,180,"1,354","1,372",133,20,153,"1,219",162,27,27,135,692,88,185,2,275,417,303,39,37,0,76,227,24,8,0,0,8,16,279,31,37,0,68,211,95,28,42,70,25,1,0,0,0,1,94,28,42,70,24,93,27,44,71,22
IA,3,"3,081","1,225","1,653",0,"2,878",203,"1,501",808,494,0,"1,302",199,"1,580",417,"1,159","1,576",4,496,136,359,495,1,275,221,0,221,54,201,147,0,147,54,74,74,74,0,207,80,95,0,175,32,179,104,72,0,176,3,7,4,3,0,7,0,172,100,69,0,169,3,124,31,93,124,0,4,0,4,4,0,120,31,89,120,0,139,29,110,139,0
ID,2,"1,966",790,707,0,"1,497",469,"1,172",508,324,0,832,340,794,282,383,665,129,251,90,123,213,38,245,112,0,112,133,164,84,0,84,80,81,28,28,53,249,52,122,0,174,75,129,70,21,0,91,38,4,3,0,0,3,1,125,67,21,0,88,37,22,9,10,19,3,0,0,0,0,0,22,9,10,19,3,31,14,15,29,2
IL,20,"13,177","4,684","5,694",85,"10,463","2,714","8,152","3,420","2,094",85,"5,599","2,553","5,025","1,264","3,600","4,864",161,"1,648",433,"1,164","1,597",51,"1,912",936,58,994,918,"1,799",834,58,892,907,113,102,102,11,"1,226",259,506,4,769,457,832,331,346,3,680,152,38,17,16,0,33,5,794,314,330,3,647,147,351,61,284,345,6,2,2,0,2,0,349,59,284,343,6,522,110,404,514,8
IN,3,"5,863","3,082","2,150",48,"5,280",583,"3,914","2,099","1,206",48,"3,353",561,"1,949",983,944,"1,927",22,636,325,306,631,5,703,514,15,529,174,608,435,15,450,158,95,79,79,16,790,183,515,28,726,64,373,238,95,0,333,40,36,30,6,0,36,0,337,208,89,0,297,40,103,53,49,102,1,3,0,3,3,0,100,53,46,99,1,149,82,65,147,2
KS,5,"2,588","1,353",918,12,"2,283",305,"1,466",865,314,12,"1,191",275,"1,122",488,604,"1,092",30,346,154,180,334,12,379,240,5,245,134,339,209,5,214,125,40,31,31,9,311,98,178,0,276,35,89,45,27,0,72,17,3,1,2,0,3,0,86,44,25,0,69,17,28,9,18,27,1,0,0,0,0,0,28,9,18,27,1,31,12,18,30,1
KY,3,"4,538","2,281","1,515",0,"3,796",742,"3,151","1,699",923,0,"2,622",529,"1,387",582,592,"1,174",213,467,202,196,398,69,457,413,0,413,44,383,345,0,345,38,74,68,68,6,591,259,282,0,541,50,248,126,68,0,194,54,27,26,1,0,27,0,221,100,67,0,167,54,75,24,40,64,11,0,0,0,0,0,75,24,40,64,11,99,32,58,90,9
LA,9,"4,081","1,306","1,545",39,"2,890","1,191","3,217",929,"1,085",39,"2,053","1,164",864,377,460,837,27,285,130,146,276,9,773,278,9,287,486,735,246,9,255,480,38,32,32,6,392,76,253,21,350,42,389,129,103,1,233,156,30,24,3,0,27,3,359,105,100,1,206,153,61,31,30,61,0,0,0,0,0,0,61,31,30,61,0,105,54,51,105,0
MA,16,"21,135","17,444","3,052",46,"20,542",593,"6,378","3,996","1,772",46,"5,814",564,"14,757","13,448","1,280","14,728",29,"4,903","4,389",503,"4,892",11,"2,561","2,285",35,"2,320",241,"1,411","1,135",35,"1,170",241,"1,150","1,150","1,150",0,"1,133",367,718,16,"1,101",32,415,283,100,1,384,31,5,4,0,0,4,1,410,279,100,1,380,30,839,735,104,839,0,10,3,7,10,0,829,732,97,829,0,"1,070",932,138,"1,070",0
MD,16,"8,390","3,953","2,543",98,"6,594","1,796","5,383","2,572","1,317",98,"3,987","1,396","3,007","1,381","1,226","2,607",400,970,438,409,847,123,"1,847",940,76,"1,016",831,"1,634",847,76,923,711,213,93,93,120,714,235,345,6,586,128,481,264,58,5,327,154,54,13,9,0,22,32,427,251,49,5,305,122,138,66,60,126,12,0,0,0,0,0,138,66,60,126,12,217,100,104,204,13
ME,2,"2,372","1,085","1,215",13,"2,313",59,"1,219",716,441,13,"1,170",49,"1,153",369,774,"1,143",10,358,119,236,355,3,217,202,1,203,14,193,178,1,179,14,24,24,24,0,151,86,56,0,142,9,146,91,54,0,145,1,18,11,7,0,18,0,128,80,47,0,127,1,56,30,25,55,1,0,0,0,0,0,56,30,25,55,1,67,31,34,65,2
MI,21,"10,516","5,393","3,996",55,"9,444","1,072","6,546","3,593","1,905",55,"5,553",993,"3,970","1,800","2,091","3,891",79,"1,285",573,688,"1,261",24,935,613,8,621,314,830,511,8,519,311,105,102,102,3,"1,067",373,588,30,991,76,975,490,390,0,880,95,160,79,74,0,153,7,815,411,316,0,727,88,262,111,149,260,2,0,0,0,0,0,262,111,149,260,2,400,168,228,396,4
MN,10,"7,546","3,764","2,941",0,"6,705",841,"3,622","2,101",886,0,"2,987",635,"3,924","1,663","2,055","3,718",206,"1,192",521,600,"1,121",71,"1,396","1,054",0,"1,054",342,"1,124",833,0,833,291,272,221,221,51,297,130,123,0,253,44,733,331,308,0,639,94,131,72,41,0,113,18,602,259,267,0,526,76,276,121,139,260,16,13,0,12,12,1,263,121,127,248,15,373,183,169,352,21
MO,8,"6,482","3,379","1,973",59,"5,411","1,071","3,434","1,786",795,59,"2,640",794,"3,048","1,593","1,178","2,771",277,926,507,338,845,81,"1,025",600,52,652,373,875,484,52,536,339,150,116,116,34,540,193,221,16,430,110,474,210,180,3,393,81,101,56,27,0,83,18,373,154,153,3,310,63,109,54,50,104,5,7,3,4,7,0,102,51,46,97,5,173,90,75,165,8
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,3,"1,983",523,618,0,"1,141",842,"1,475",369,324,0,693,782,508,154,294,448,60,152,54,84,138,14,243,67,0,67,176,233,67,0,67,166,10,0,0,10,206,33,54,0,87,119,93,30,25,0,55,38,25,17,8,0,25,0,68,13,17,0,30,38,9,1,6,7,2,0,0,0,0,0,9,1,6,7,2,21,1,12,13,8
MT,1,"1,709",535,302,0,837,872,"1,127",346,132,0,478,649,582,189,170,359,223,182,63,57,120,62,166,26,0,26,140,154,23,0,23,131,12,3,3,9,277,52,46,0,98,179,171,30,11,0,41,130,13,5,1,0,6,7,158,25,10,0,35,123,41,8,18,26,15,9,1,6,7,2,32,7,12,19,13,55,9,22,31,24
