State,Number of CoCs,"Overall Homeless, 2016","Sheltered ES Homeless, 2016","Sheltered TH Homeless, 2016","Sheltered SH Homeless, 2016","Sheltered Total Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered ES Homeless Individuals, 2016","Sheltered TH Homeless Individuals, 2016","Sheltered SH Homeless Individuals, 2016","Sheltered Total Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered ES Homeless People in Families, 2016","Sheltered TH Homeless People in Families, 2016","Sheltered Total Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Homeless Family Households, 2016","Sheltered ES Homeless Family Households, 2016","Sheltered TH Homeless Family Households, 2016","Sheltered Total Homeless Family Households, 2016","Unsheltered Homeless Family Households, 2016","Chronically Homeless, 2016","Sheltered ES Chronically Homeless, 2016","Sheltered SH Chronically Homeless, 2016","Sheltered Total Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered ES Chronically Homeless Individuals, 2016","Sheltered SH Chronically Homeless Individuals, 2016","Sheltered Total Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered ES Chronically Homeless People in Families, 2016","Sheltered Total Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered ES Homeless Veterans, 2016","Sheltered TH Homeless Veterans, 2016","Sheltered SH Homeless Veterans, 2016","Sheltered Total Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2016","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2016","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Youth Under 18, 2016","Sheltered ES Homeless Unaccompanied Youth Under 18, 2016","Sheltered TH Homeless Unaccompanied Youth Under 18, 2016","Sheltered Total Homeless Unaccompanied Youth Under 18, 2016","Unsheltered Homeless Unaccompanied Youth Under 18, 2016","Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2016","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2016","Homeless Parenting Youth (Under 25), 2016","Sheltered ES Homeless Parenting Youth (Under 25), 2016","Sheltered TH Homeless Parenting Youth (Under 25), 2016","Sheltered Total Homeless Parenting Youth (Under 25), 2016","Unsheltered Homeless Parenting Youth (Under 25), 2016","Homeless Parenting Youth Under 18, 2016","Sheltered ES Homeless Parenting Youth Under 18, 2016","Sheltered TH Homeless Parenting Youth Under 18, 2016","Sheltered Total Homeless Parenting Youth Under 18, 2016","Unsheltered Homeless Parenting Youth Under 18, 2016","Homeless Parenting Youth Age 18-24, 2016","Sheltered ES Homeless Parenting Youth Age 18-24, 2016","Sheltered TH Homeless Parenting Youth Age 18-24, 2016","Sheltered Total Homeless Parenting Youth Age 18-24, 2016","Unsheltered Homeless Parenting Youth Age 18-24, 2016","Homeless Children of Parenting Youth, 2016","Sheltered ES Homeless Children of Parenting Youth, 2016","Sheltered TH Homeless Children of Parenting Youth, 2016","Sheltered Total Homeless Children of Parenting Youth, 2016","Unsheltered Homeless Children of Parenting Youth, 2016"
AK,2,"1,940","1,007",491,0,"1,498",442,"1,527",777,312,0,"1,089",438,413,230,179,409,4,135,76,58,134,1,122,94,0,94,28,112,84,0,84,28,10,10,10,0,168,72,40,0,112,56,173,87,50,0,137,36,19,19,0,19,0,154,68,50,0,118,36,9,2,7,9,0,0,0,0,0,0,9,2,7,9,0,10,2,8,10,0
AL,8,"4,111","1,601","1,258",34,"2,893","1,218","3,019","1,147",836,34,"2,017","1,002","1,092",454,422,876,216,356,139,154,293,63,420,170,2,172,248,390,161,2,163,227,30,9,9,21,373,207,113,1,321,52,254,107,64,2,173,81,28,9,19,28,0,226,98,45,2,145,81,31,14,11,25,6,5,0,5,5,0,26,14,6,20,6,45,22,17,39,6
AR,7,"2,463","1,092",514,10,"1,616",847,"1,838",769,361,10,"1,140",698,625,323,153,476,149,191,107,40,147,44,503,226,0,226,277,417,163,0,163,254,86,63,63,23,222,67,92,0,159,63,201,61,54,2,117,84,49,16,33,49,0,152,45,21,2,68,84,13,12,1,13,0,0,0,0,0,0,13,12,1,13,0,13,12,1,13,0
AZ,3,"9,707","3,701","2,722",40,"6,463","3,244","6,659","2,411","1,113",40,"3,564","3,095","3,048","1,290","1,609","2,899",149,917,400,477,877,40,"1,395",449,19,468,927,"1,327",404,19,423,904,68,45,45,23,"1,036",268,392,3,663,373,589,243,187,1,431,158,100,67,25,92,8,489,176,162,1,339,150,150,70,80,150,0,1,1,0,1,0,149,69,80,149,0,222,96,126,222,0
CA,43,"118,142","21,766","17,860",126,"39,752","78,390","97,660","14,154","9,440",126,"23,720","73,940","20,482","7,612","8,420","16,032","4,450","6,764","2,463","2,712","5,175","1,589","31,548","4,412",66,"4,478","27,070","29,802","3,844",66,"3,910","25,892","1,746",568,568,"1,178","9,612","1,242","2,740",30,"4,012","5,600","11,222","1,032","1,498",1,"2,531","8,691",847,158,55,213,634,"10,375",874,"1,443",1,"2,318","8,057",862,218,533,751,111,10,8,2,10,0,852,210,531,741,111,"1,098",281,654,935,163
CO,3,"10,550","4,467","3,098",46,"7,611","2,939","6,450","3,227","1,079",46,"4,352","2,098","4,100","1,240","2,019","3,259",841,"1,200",346,613,959,241,"1,829",903,46,949,880,"1,642",837,46,883,759,187,66,66,121,"1,181",331,573,2,906,275,653,277,102,4,383,270,39,17,9,26,13,614,260,93,4,357,257,157,25,108,133,24,2,0,1,1,1,155,25,107,132,23,217,44,143,187,30
CT,2,"3,902","2,370",859,0,"3,229",673,"2,570","1,494",409,0,"1,903",667,"1,332",876,450,"1,326",6,449,290,157,447,2,467,282,0,282,185,439,254,0,254,185,28,28,28,0,216,45,128,0,173,43,119,76,21,0,97,22,8,8,0,8,0,111,68,21,0,89,22,61,32,28,60,1,0,0,0,0,0,61,32,28,60,1,93,50,42,92,1
DC,1,"8,350","6,259","1,773",0,"8,032",318,"3,683","2,594",771,0,"3,365",318,"4,667","3,665","1,002","4,667",0,"1,491","1,136",355,"1,491",0,"1,597","1,357",0,"1,357",240,"1,501","1,261",0,"1,261",240,96,96,96,0,350,148,174,0,322,28,211,87,91,0,178,33,10,6,4,10,0,201,81,87,0,168,33,527,394,133,527,0,0,0,0,0,0,527,394,133,527,0,688,478,210,688,0
DE,1,"1,070",621,398,0,"1,019",51,753,454,248,0,702,51,317,167,150,317,0,108,53,55,108,0,74,72,0,72,2,65,63,0,63,2,9,9,9,0,107,55,48,0,103,4,51,29,17,0,46,5,0,0,0,0,0,51,29,17,0,46,5,10,5,5,10,0,0,0,0,0,0,10,5,5,10,0,20,10,10,20,0
FL,27,"33,559","10,526","7,542",130,"18,198","15,361","24,201","6,838","4,673",130,"11,641","12,560","9,358","3,688","2,869","6,557","2,801","3,031","1,222",880,"2,102",929,"5,895","1,331",71,"1,402","4,493","5,415","1,148",71,"1,219","4,196",480,183,183,297,"2,902",702,"1,096",27,"1,825","1,077","2,094",678,419,9,"1,106",988,514,231,48,279,235,"1,580",447,371,9,827,753,320,122,115,237,83,5,1,4,5,0,315,121,111,232,83,485,210,173,383,102
