State,Overall Homeless,Sheltered,Unsheltered,Alone,In_families,Chronic,Rate_Total_homeless,Rate_Sheltered,Rate_Unsheltered,Rate_Alone,Rate_In_families,Rate_Chronic,Pop,Homeless/Capita
AK,2016,1707,309,1434,582,357,0.0926829268,0.1005802708,0.0510204082,0.059084195,0.1853360489,0.3891050584,737438,2.7337891457
AL,3434,2424,1010,2570,864,540,-0.0946480359,-0.0873493976,-0.1116974494,-0.1390284757,0.0693069307,0.4876033058,4887871,0.7025553661
AR,2712,1455,1257,2280,432,466,0.0993109039,0.1429693637,0.0527638191,0.1025145068,0.0827067669,-0.0147991543,3013825,0.8998531766
AZ,9865,5799,4066,7259,2606,1774,0.1026042249,0.0031136482,0.2842703727,0.1188347719,0.0597803985,0.1430412371,7171646,1.3755559045
CA,129972,40429,89543,109008,20964,34332,-0.0118602317,-0.0517637677,0.0072781677,-0.0113549791,-0.0144791275,-0.0729349499,39557045,3.2856852679
CO,10857,6528,4329,7607,3250,2738,-0.0075868373,-0.0780963141,0.1217932107,0.0047549861,-0.035322054,0.2093639576,5695564,1.9062203497
CT,3976,3395,581,2280,1696,341,0.173553719,0.1423283984,0.3966346154,0.0326086957,0.4372881356,-0.1880952381,3572665,1.1128947158
DC,6904,6304,600,3770,3134,1781,-0.0761407735,-0.0413625304,-0.3311036789,0.0521909015,-0.194344473,-0.0531632111,702455,
DE,1082,989,93,708,374,189,0.0885311871,0.0566239316,0.6034482759,0.1512195122,-0.0131926121,0.4881889764,967171,1.1187266781
FL,31030,17637,13393,21443,9587,5302,-0.036036036,0.0307404594,-0.1118111281,-0.0581957133,0.0175122055,-0.0557435441,21299325,1.4568536796
GA,9499,5900,3599,6943,2556,1080,-0.0663455868,-0.1129153511,0.0215725234,-0.0645378604,-0.0712209302,0.0505836576,10519475,0.9029918318
HI,6530,3055,3475,4131,2399,1714,-0.095567867,-0.1067251462,-0.0855263158,-0.0890848953,-0.1065176909,-0.0477777778,1420491,4.5970020225
IA,2749,2508,241,1711,1038,270,-0.0025399129,-0.0542986425,1.3173076923,0.1406666667,-0.173566879,0.3567839196,3156145,0.8709992728
